fn,label,dur,fs,pos
FB79/85FB79_19.wav,FB79,1.49865625,96000,0.749328125
FB79/85FB79_16.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_14.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_12.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_07.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_17.wav,FB79,1.515125,96000,0.7575625
FB79/85FB79_03.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_08.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_04.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_05.wav,FB79,1.4799375,96000,0.73996875
FB79/85FB79_20.wav,FB79,1.515125,96000,0.7575625
FB79/85FB79_09.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_11.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_18.wav,FB79,1.49865625,96000,0.749328125
FB79/85FB79_02.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_10.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_01.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_13.wav,FB79,1.50734375,96000,0.753671875
FB79/85FB79_06.wav,FB79,1.53475,96000,0.767375
FB79/85FB79_15.wav,FB79,1.50734375,96000,0.753671875
FB25/89FB25_13.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_06.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_17.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_12.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_20.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_11.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_05.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_08.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_04.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_02.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_07.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_09.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_03.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_15.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_10.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_19.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_16.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_14.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_18.wav,FB25,2.0085,96000,1.00425
FB25/89FB25_01.wav,FB25,2.0085,96000,1.00425
FB02/92FB2_17.wav,FB02,1.51025,96000,0.755125
FB02/92FB2_06.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_13.wav,FB02,1.51025,96000,0.755125
FB02/92FB2_11.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_15.wav,FB02,1.51025,96000,0.755125
FB02/92FB2_12.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_10.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_16.wav,FB02,1.5282291666666667,96000,0.7641145833333334
FB02/92FB2_14.wav,FB02,1.4922708333333334,96000,0.7461354166666667
FB02/92FB2_08.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_07.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_18.wav,FB02,1.4922708333333334,96000,0.7461354166666667
FB02/92FB2_20.wav,FB02,1.51025,96000,0.755125
FB02/92FB2_01.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_19.wav,FB02,1.4922708333333334,96000,0.7461354166666667
FB02/92FB2_04.wav,FB02,1.4865625,96000,0.74328125
FB02/92FB2_02.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_09.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_05.wav,FB02,1.50875,96000,0.754375
FB02/92FB2_03.wav,FB02,1.50875,96000,0.754375
FB92/89FB92_03.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_06.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_19.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_13.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_15.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_02.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_09.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_10.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_04.wav,FB92,2.003739583333333,96000,1.0018697916666666
FB92/89FB92_20.wav,FB92,2.0171875,96000,1.00859375
