fn,label,dur,pos,label_prefilter
AdultVocalizations/GreOra1817_110728-ThukC-01.wav,Th,0.060907029478458,0.030453514739229,Th
AdultVocalizations/GraGra0201_110907-ThuckC-32.wav,Th,0.0724716553287981,0.036235827664399,Th
AdultVocalizations/WhiLbl0010_110425-Tet-24.wav,Te,0.1085034013605442,0.0542517006802721,Te
AdultVocalizations/PurRas20dd_110411-TetC-02.wav,Te,0.126734693877551,0.0633673469387755,Te
AdultVocalizations/BluRas61dd_110607-TukC-09.wav,Tu,0.0589569160997732,0.0294784580498866,Tu
AdultVocalizations/WhiRas44dd_110815-ThuckC-22.wav,Th,0.0683673469387755,0.0341836734693877,Th
AdultVocalizations/GreOra1817_110729-ThukC-33.wav,Th,0.052063492063492,0.026031746031746,Th
AdultVocalizations/WhiWhi1415_110302-TetC-06.wav,Te,0.0980045351473923,0.0490022675736961,Te
AdultVocalizations/GreWhi1242_130416-Te-09.wav,Te,0.113718820861678,0.056859410430839,Te
AdultVocalizations/WhiLbl0010_110607-TukC-11.wav,Tu,0.0904081632653061,0.045204081632653,Tu
AdultVocalizations/LblBla4548_130503-Te-30.wav,Te,0.1185034013605442,0.0592517006802721,Te
AdultVocalizations/BluRas07dd_110421-DC-07.wav,DC,0.1709750566893424,0.0854875283446712,DC
AdultVocalizations/GreRas2400_110615_TetC-33.wav,Ag,0.107641723356009,0.0538208616780045,Ad
AdultVocalizations/BluRas07dd_110406-TetC-10.wav,Te,0.0890249433106575,0.0445124716553287,Te
AdultVocalizations/LblRed0613_111202-ThukC-02.wav,Th,0.0761678004535147,0.0380839002267573,Th
AdultVocalizations/YelGre5275_110629-TukC-09.wav,Tu,0.0716780045351473,0.0358390022675736,Tu
AdultVocalizations/WhiLbl0010_110606-NestCSeq-34.wav,Ne,0.5733560090702948,0.2866780045351474,Ne
AdultVocalizations/LblRed0613_110920-NestC-07.wav,Ne,0.0741496598639455,0.0370748299319727,Ne
AdultVocalizations/LblBla4548_130416-Wh-05.wav,Wh,0.1739455782312925,0.0869727891156462,Wh
AdultVocalizations/BlaLbl8026_110428-DC-02.wav,DC,0.1583673469387755,0.0791836734693877,DC
AdultVocalizations/GraGra0201_110620-TetC-34.wav,Te,0.1080045351473922,0.0540022675736961,Te
AdultVocalizations/WhiLbl0010_110421-DC-04.wav,DC,0.2025396825396825,0.1012698412698412,DC
